County_FIPS,count
27053,19552
27123,6708
27037,5117
27163,3700
27003,3003
27139,1699
27019,1531
27109,1453
27171,846
27137,727
27145,653
27141,462
27131,399
27025,265
27013,262
27049,232
27035,208
27059,179
27169,178
27111,154
27103,150
27027,148
27067,144
27147,137
27079,119
27041,118
27085,113
27099,109
27009,105
27061,91
27007,88
27157,83
27039,80
27021,78
27005,76
27017,75
27055,71
27015,63
27097,62
27047,61
27095,61
27115,59
27075,53
27093,51
27143,46
27121,42
27057,41
27161,41
27153,41
27043,39
27083,38
27045,38
27119,35
27031,29
27149,27
27105,25
27065,22
27129,22
27091,22
27151,21
27001,21
27033,21
27117,19
27135,19
27113,18
27127,16
27063,15
27165,15
27133,15
27051,14
27081,13
27159,13
27023,12
27071,12
27101,9
27107,9
27011,8
27077,7
27069,7
27073,6
27029,6
27089,6
27087,5
27167,5
27173,5
27125,4
