State,Electric (EV)
Alabama,13000
Alaska,2700
Arizona,89800
Arkansas,7100
California,1256600
Colorado,90100
Connecticut,31600
Delaware,8400
District of Columbia,8100
Florida,254900
Georgia,92400
Hawaii,25600
Idaho,8500
Illinois,99600
Indiana,26100
Iowa,9000
Kansas,11300
Kentucky,11600
Louisiana,8200
Maine,7400
Maryland,72100
Massachusetts,73800
Michigan,50300
Minnesota,37100
Mississippi,3600
Missouri,26900
Montana,4600
Nebraska,6900
Nevada,47400
New Hampshire,9900
New Jersey,134800
New Mexico,10300
New York,131300
North Carolina,70200
North Dakota,1000
Ohio,50400
Oklahoma,22800
Oregon,64400
Pennsylvania,70200
Rhode Island,6400
South Carolina,20900
South Dakota,1700
Tennessee,33200
Texas,230100
Utah,40000
Vermont,7800
Virginia,84900
Washington,152100
West Virginia,2800
Wisconsin,24900
Wyoming,1100
United States,3555900
