state,status_code,station_count
AK,E,71
AK,T,3
AL,E,586
AL,P,1
AL,T,28
AR,E,385
AR,P,1
AR,T,21
AZ,E,1493
AZ,T,80
CA,E,18424
CA,P,174
CA,T,1440
CO,E,2608
CO,P,13
CO,T,159
CT,E,1405
CT,P,5
CT,T,72
DC,E,387
DC,P,1
DC,T,62
DE,E,290
DE,T,15
FL,E,4006
FL,P,15
FL,T,302
GA,E,2228
GA,P,11
GA,T,210
HI,E,385
HI,P,10
HI,T,30
IA,E,484
IA,P,3
IA,T,23
ID,E,235
ID,T,8
IL,E,1620
IL,P,3
IL,T,112
IN,E,688
IN,P,3
IN,T,43
KS,E,574
KS,T,71
KY,E,364
KY,P,1
KY,T,11
LA,E,316
LA,P,1
LA,T,20
MA,E,3806
MA,P,13
MA,T,207
MD,E,1630
MD,P,42
MD,T,325
ME,E,565
ME,T,13
MI,E,1762
MI,P,2
MI,T,84
MN,E,1031
MN,P,2
MN,T,43
MO,E,1344
MO,T,114
MS,E,211
MS,T,9
MT,E,156
MT,P,1
MT,T,6
NC,E,1897
NC,P,25
NC,T,200
ND,E,98
ND,T,1
NE,E,300
NE,T,9
NH,E,328
NH,P,1
NH,T,9
NJ,E,1665
NJ,P,18
NJ,T,86
NM,E,382
NM,T,28
NV,E,670
NV,P,2
NV,T,45
NY,E,4938
NY,P,52
NY,T,478
OH,E,1897
OH,P,4
OH,T,93
OK,E,409
OK,P,1
OK,T,19
OR,E,1603
OR,P,12
OR,T,92
PA,E,2053
PA,P,4
PA,T,147
RI,E,369
RI,P,1
RI,T,23
SC,E,717
SC,P,2
SC,T,43
SD,E,116
SD,T,6
TN,E,1093
TN,P,6
TN,T,51
TX,E,3990
TX,P,60
TX,T,330
UT,E,970
UT,P,4
UT,T,99
VA,E,1950
VA,P,2
VA,T,112
VT,E,485
VT,P,4
VT,T,22
WA,E,2686
WA,P,15
WA,T,267
WI,E,763
WI,P,2
WI,T,41
WV,E,190
WV,T,6
WY,E,116
WY,T,5
